Puzzle,Difficulty
6..27.....4..96.27...3...96314....6..574.....9...53...73.......4967...5...5...9..,Expert
8.7..3............69..483...5.3.4..8.4.51.7......6...9.71......4........3.9..78..,Easy
..2.9.........2.7339.5.1....4...........1...2.7....5..53.....48..8.23..7...7...1.,Easy
9......37..875.....4.3.....5....8..6....6.8....6145..9.....1...7..4..16..138....4,Expert
.3..42..9.....61....6....7.49...8...62....34...1........4.1..9....73...19.8.2....,Easy
.....1.76249..7.......3.....7.....3........2....4..6....1..6.....3...95.7.2.194..,Expert
2...6..4.9...14.....625.9.....1.........2....7.......6..4.7.31.6.2....74..93...2.,Expert
76..5..8.3.16.............9......3.8....7.15..1.8....257...2.1..3....29...6..1..7,Expert
......3..23...47..17............64.2...5.....4..1..53.61...3....247.5..1.....86..,Intermediate
4...1....7.32...........1.8...4.3..139..67......82.......9..8..2.6..43...84...6..,Easy
....7.4...1...953....1.......9....627...6.....43....7....2.3.5...56...9....45.7.1,Easy
2.97.165...7...........4.1.74...................5....9....431...9.....2...5.2..36,Easy
.7.8.2..6..2...8........17..5..4..97.8..76.5.6..2.14..41....7........96...5......,Expert
..7.2..43...1..2...8........7....8.43.58....7.6...15.......4..6.1...2....4.7..15.,Expert
...9.1.4.....7.......5.63...4.6...9..6.41.........2...4.6..7..9..3.4.67.27...9.1.,Expert
.26.....5.....341.....4.2..54.....97.3.6.....2....7.......761.....5.4...9..1....2,Easy
.21.........9...6....6.2..31...9873..8.2..1..5..73..867.9.6..........9......8...1,Intermediate
37..9..6..26........1.....8..4.....2.3....47189..........1.76..21.....8...32.8...,Intermediate
69......53....469..45...1.2..315.7....7....5...6..2..1...4....7............6..93.,Expert
.8.65..2.597...........3....7..6..9....5.....8.29....363.4....57...9.86....2...3.,Expert
....54......9...6......253.........2.8.1...9...1.8.....196...4..38..1.2.5..3.98.6,Easy
3..8.7..4..1..9.63..45..79.6..7.84.54..1..8....8.5.9..1.............5......6.3...,Easy
..9..68..2.8..397..1...24....14.....3......417..31.........7....4.....3.6..82....,Easy
9.542.......5.....4......6...2.5..79.....7.....1....4...7.....26.....354.5..1.69.,Expert
......495............1.87....1..5.7..827.6...4.79.15.6..58.96.........24..9..4...,Intermediate
...7..3........1.6.2.5......71..69..2.3....4.46......7..639.....5..1..9.1...47...,Expert
2718.....5.....46..8...3.........13.....2...6.3..61.8....7..6.4.1.....5.....8...3,Expert
.7....5..1.6.83..985.7.6.....519...8..1..56..78.6.4.......4....9......4.........1,Easy
....4......3....8.......2...4..2..1.....9.6.8..28...9...9.31.5.8.6..9..35....4.62,Simple
.7.1.....6.3847...2..6........5..........3..2.5......7..4..6.388....47.1..53.1.26,Easy
5876.....26.4.....9.4.........28.543.3..4..29....6..8.678.........8....2...5....4,Easy
.413..9..6...94.1...3.2..6..9...2.74.3..5..9.754..1..........3...2...........924.,Expert
....8.1.....216....9......6...4..872.6.1...4......7.5.6.....5.8.........2.7..4..9,Easy
..5.42....7....6...4....1.8...6...1.......7.68.9.......12..549...............728.,Intermediate
....943....1....65...51.....1....7.3......652...953.1.....2..4.9.57........4..9.7,Easy
.8.........37..9.....8...4...9.2....7....8...84.5.6.3...8..7.53.6...5.27.2...4..8,Easy
..6.5...128.4.....5..86.......1..25...9........7.....6..8.4962..72..84.....6.....,Expert
.12...97.64.9.7..37....246...95.61......23...2..4.........1..9....3.4...1.3.6....,Expert
...7....97...84....89.1....5...........8..7...2.....5865....2.....19..87...24...6,Intermediate
...7.......95..3....6.9..12......12........36...6..9753.2.5..9..1796....6..82....,Expert
146.7..23.....8..7.......612..13......19.....79......2..4...9.86.........73......,Easy
.9.5.21....7.9.2.54.....96..71.....2.5....6.....3.7.14...4..........1....4.73....,Expert
.........4..61..2..8.7....4......56.962......5.4...9.7.1....49.8.6.7..5...5.9..8.,Simple
1.7.4.8...3...8.64....7..5..74.3....36.....9..8.5.9..7...4............85.......49,Simple
.....5.9...1.....6.6.....278....7..3..3.8...2..512.6.....561.....8...9.17.2......,Easy
.9..2...67.2.6..4..4.8...912.....9.....1.9.8.1....63..91.........6......824......,Intermediate
..9...86.......1.........97...5.6.1....28...5...17..8..7.4....214..2.9..8..7...5.,Easy
321.7...4.95...1..47........42.65.1.13..2...9.........71....3.2.5...4.91.......5.,Expert
........2..7....93.......7.9..1....8..3..61..7.2..4.6....3...1...6.42.8..8......9,Easy
....8.2.....3.5.16.......9........416..85......82.9.....46....5.2..1396..........,Expert
.4..3..69.9......1..............89....5..6..7..3.758.4..8.......5...14..1764....5,Easy
...2..9......1.....1...86.78..54.17......92..5...2...4....8..59...9..4.87..6...2.,Simple
..8.....1.2...5.4...........4..2..15.853.74..21.8...7...47...3.95.4.......2....8.,Easy
.8.......6....94...2364.7........8.49.......5..6........83..5.....97.2...5..8.64.,Expert
.5..1.8...94.6......3..9.5....9..4.3........6.......252...9..48...6..9...4.8.5.12,Expert
........8278....4.6.....2.9.8....95...57..8.39.7.....6....42.......96...3925.....,Expert
.7.4.5.6.....714.8....92.........5......6.1.2....5..764..9...8126...47....1......,Easy
..7..2..33...91..7.1..578..........9....7...8.5..291..2....5.9...........8....2.6,Easy
.26.1.......89...58.953.7....175..6.....8.91......3...2.....58.6.........7..2....,Easy
..4.6.1.5.6..31......9..84.6.......9...8..7..41.3.9...7....4.....8..........9.4.8,Easy
2..4.187...5..29...1.8...4..5....76..92...41...75....9.........9...8.......7.91..,Expert
..2..7...8..6.54.........23..7.....1...3..2.......63..4..2..6.53.......875..8.13.,Expert
......8.5..5..8734.......2.3.4.9..58....27.........3..8...42.1.19.5...7.5.......3,Expert
...65...36.......4..2.......93.4.2....1..2.6...68.3...5....4......36.4..83.1.9...,Easy
..45...16.....2..97.1.9.5....81..2.74...8..........6..1....9.7......5......6...4.,Easy
57..184....1.2.89.2..9.6.....4.6.58...........8..751.....69..7.6..........2.84...,Expert
.......76.1...4.8...31.64.51.82..5...45.3..286.........5...86.3.............7....,Easy
..249.8..........667..3....9.....23..8.7......24......395..8....6..2............4,Easy
....4...85.........37.1.....6.5.14.7.8.4..5......8.6.235..2.1..1..87..2...6......,Easy
..4.56.3..5.72..1.2.9.4.......17.........4..7..6....4..41..93.5.............3.62.,Intermediate
..5...7...6........47.81.....8......9..5.862.2...6..7....1.......9.5.16...627.8.5,Easy
5..7..3.491.5...6...7.6..1....3..69....67..52..6..4............1..2..5.....149.2.,Easy
..682.19........2..3...4.8..9....36....695.14.5.......2...59.3......8..1.6.2.....,Easy
...2.....61.9......75.........8..2.3..8.6.9.1.9..2..6..2617....3....57..58.3.....,Simple
.........3.......84...68..1..35.21..5...41.6.81........8...6.2.1.4.2...72....7..5,Expert
18..346.....68......27......1.2...3...3.9....4.7.6....7...28....6....49.2.....3..,Easy
.5.94....1......89..6...1....243......3.96..2...2....163..5.4...........4...6.3.5,Easy
23..8.....45.163........285....3..76....4783....8..54.............46.1.8.5...1...,Easy
..264..9..98......6.5.8...3...21..4........68..65.....2..961...5...3....9....43..,Expert
.3.9..1..15..26..4....15.2......4.354...5.9.6.....2..17....94......7.36..........,Expert
.5..8......217....1....6....9.3.5...5.7.......6..9......1..852.7...5.63.6....79..,Expert
2..6.8.......37...7..2...38..2......4....675.6.7.5.1.3....8.......5..4...3..4...2,Easy
..1..7.......89.4...5.21..6.....6.7.256.....98....2...6.2....18.4....9...9....4.7,Intermediate
.6.425..7......5...976..2...3......6...3.4...1....6.9.723...............6.4731...,Expert
6.3......8....5.......6..9....2...3...58.6.....257.....46..3.795.9.....4.37..48..,Easy
...5....2...3..18...62.4.9.94.....6.5...42..1....................368.92..98...4..,Easy
.4.9....75......43...68.2......9..2.85..........52.76.......89..8.....3.6..2..4..,Intermediate
...2..1..8.2..3.6.31....8.517....2..........62..6..3.7....51....6.7..9..5...6...3,Easy
...8.9.4.....23..8.......264.3.6..8...67..3..........1.6.31.4..1.94.......2.7....,Easy
..69.2.....8..693..........1.9...4.24.....6...2..93......12.....4....85....8.5...,Intermediate
....3..7....8....9..592..8..8...4..521......3.7.....18............3..29..9..78.3.,Expert
2....1...3............468.7..1....4....3.5.......8.675.....74.8.......5...4628..1,Easy
.3......4.7...4.8.....56.97....8.6.....6.9.5.....7........6.7..74.39...5.15..7..8,Intermediate
.8.3..9..3.6..8...2.1.6...78......9..7....6..16........4.89.7.2..3.14..8......4..,Easy
8.....6.7.2...91..7....849515....8..4.9.2.7.......5..9.4.....782............7...6,Easy
...1...4643.9..7.......39...5.....8.1...5...33....64.9....41...8......6..498.....,Easy
.53.8.....94.632.....7......68.....252...4..........3.4...7..........953639.2..8.,Easy
.27.5.......9.6..........5..8.6...15.321..97.5....82..25.8.1..7.9........7...9.6.,Intermediate
...7....4....9.62..52..3..19...6..........37..45........94.7.53...2.1.....46.....,Intermediate
16.3...5...3.916..2.......8.....28..8..1....2.2..84.919.........3....12........45,Expert
7...5.6.12............6.7..1.639....57.1......9...7......62.........1.2745...9...,Easy
..87.......2.6..1...4..9.......9.8..7..6......15....628...21.4.2..9...87..65.7...,Expert
....864..8..534.6......95...6........9..58..6..7...32.2.....694...9.2.8.....4...5,Easy
....9.1.4...........7.....3..9.7..5..825......71..9..2..8..74....513.8.9...9.45..,Easy
.96........1.3....5....4.1.....8.5.3.4..53.........648....1..8.3.7......9..675...,Easy
..3.6.......3.7..51.7........95...8.78..1..........6.1391...5..8.....26...58...3.,Expert
...2.....73........8..96........12.75.9..3..18.1..5..4..5........8.593..4.......2,Easy
.3..4..9..7...9.8.8...25.737.4..............2.....6....53..8.64....92..5..6.3....,Easy
...2..7..7....9.4...1.87.2..854....2.1..3......45.....1.8..5..9.498....3.23......,Easy
....4....631....9..7.3..1.27.3...4.912..95..3....6.............9..62.......157..6,Simple
.....23.95..9.....1....42..9..4.7..14..12...832...............2.....947....2.359.,Intermediate
..382.9...5.9..34.......5....23........4.96.2.74.6.....2.......9.6...43...5....6.,Expert
..4.5.32.5.1.93.76.2..1..5...7............74939.6.....2....9...4.5...2.........3.,Easy
....3......9.....6..7.59.......6..35..2....7.3.5..1..4.4...79..5.31...2..7.3.....,Expert
..9.....357..39.8.38.....15...57.....1...8..........5...16.....9.87..4.6.4.9..3..,Expert
..29...3.734.....1.5..2.8.7.2...9....1..3.5..8..71......8.........287...9..15....,Intermediate
86......1.......9.91.4..52...4261........5......97....5...2.7.4....19..2..76..9..,Expert
7436...9.....9......84....2.7......5....842.3..............654..869......94.257..,Easy
.6........4....261.1..453.8..8...41...5.2...3...4..5......87.......13.7...1.....5,Easy
49......68.1.....3..........3.95..14...4.85.....3.78..35..9......4.6...89..5.....,Easy
..4..1.32........423..5......7.....9..8.2..4.1.947..8...2.....1.7.8..25....1.....,Intermediate
.....9..241..7...8.......7.....43......2.....2.9..5.14....3..5.5..8.....9.87...41,Expert
......37.3..5....8....89..2..8..39.7.9...7.......46...7...62.5.........9..57...4.,Easy
.1...6.257.2.8.....36.2.........7.......12657..4...8.....3..184......3.....1.8.6.,Expert
...32....4......9..75....1....97.5..1..........2.3....92......8.8.4..1...518.9...,Easy
8..9.2..3.1.8..4..2.93...1.....635.........424...5.9..1.5........8...6..9........,Easy
.2....751..87...4.6.......83.4.....5.8........7.1......1.2.3..7.......2.5....41..,Expert
...872.19.7........1....5.....5....3....86.....69...5.......3.2.9..1..7...57...6.,Expert
.4....57....7.9.......4..2....5..2......6...8..58..3..97......33..67.4...6..92...,Easy
.8...........56......7..32.....3.45.4..5...76..8.4.2.1......5.3....1..8.35.4..7..,Expert
.93..2...1..6.....42..3....9.5.7.........4...2...5.1.33..1.59..6....3..4.......5.,Expert
..2.5.......32...1.........7...9..2.39..1.54....4..3....954....2....1..7.5.9.6...,Easy
.46.9...5.........5.2...7....39...4.....65...8.73.26........4..76....2.938.....6.,Easy
...19...........32.7......143..2....29.7..6......63..4..1...25.5....6...3..51...9,Easy
.24...7.983..2.....76..3....6......7..81.69....9....83...4........2....4.....8..2,Easy
.7.3.....1.......4.64.9...26....3.2..4.9.....2.184...6..9.12.............1.47..3.,Easy
.5..............9.1.....7.567...5.....5.7..41...29.8...2...9.6.....2....741.6.2..,Expert
.......2978....3..6.....7...3..7.8.....8.26...96.34..74.8...9..3......8..6...354.,Easy
8.653...9....9.1...9......8...87..1.7.2.............3....7.32..3.9....61..1.2..8.,Expert
..18.5...4........3.6.12..8.6...38.4...5.....8...49....259....6.3.......9.4..8.53,Intermediate
......75.....38........96....78.....1.5.6...98.6941...5.....9.33....4..66..15.4..,Easy
7596...............6..7..85.12....4...872..565..........5.....44...82.1.2....48.9,Expert
2.......8...37........45..........8..2.69.7..9.....5.26.4....3..8.4.3..6.39.8...7,Expert
6..9.1.34..1.........3...6..28.9..534..8.........5.2......68.2...24.5.86....1....,Easy
..4.7...2.6....485..5...9..6.....2.82...87.9.3.................59...2.37782..5...,Intermediate
8.........7....3..1...34..2..7.912.6....6....4.27..1..3......1..29.1.6.8.8.......,Expert
9....1.5....85.3.9......2.......76.3.....3...1.2.9.....5.178..2..13..76...3..6.8.,Expert
.4..95..2....2....5.14..36.....8..1....3124....9....8...5...64.1........8..9.4...,Expert
9...1.....56......4....3...5.1..7.....7.3..1......5..6.4....6.98...7.3...1.9.4...,Expert
.4..3..2.6.....73..8..2.9.6.1.7............9....31.6.8..98....27.....34.1..2.....,Easy
.1.......956.1...7..2..7.....78......9.24.6..24..6..9.5.....9...6.4....18......45,Intermediate
.931...4.2.4.7....7....5....483...9...15.483......9....82.....1................57,Easy
3..2.6.18..6.7.53.18.5....7.2...3.9.......72...............7...9.26.8.....73.21..,Expert
....37...7..95.8.4..9....31...........5...4.84....8..2.98...32...7......5.3.7...9,Expert
...7.2...34...5.9...2........85.3.47..5.9.32...7.2..5..8....1......89...7..3.1...,Intermediate
...689...............257...9.6.1.48.....4.2.9.5...67..4.91..6..8..9.5...5...7....,Expert
.........45..68.1.8.3......7..5.14....1.7..9...694...8...69.....1.4...6.....1.3..,Intermediate
...9....3......286....67..9..6235.98....793.........25......6..8.7316.....5.2....,Easy
.5.2....8.8..36..791..5....7.....12..3...18..8......6.2...8.6......6...........72,Expert
3..9..48........197.......6.4..6..2...6..18...8..4......3.....7..1.36.....4..96..,Expert
.1...8.3......379.2...91..637.....19.4....6.21....2..4.2.......69....1....3.7....,Expert
....5..6....4....5.....8....2...9..69.82.634....7.4....8....7.37.63....9....7..2.,Intermediate
..87.41...7..5......63.....3...9...4........9.6...58..4..1.67..1....7.8....5.....,Expert
..........1......4.3..5.17......5..1..4.73..57..6149..6...372..5..2......29...3..,Intermediate
...4.5....2..8.......12..43....1....91.3.....5.82941..2.35.....1....87...47....1.,Intermediate
.2....1...34.....2...9......13.85..95...3..4......956.8....16......92..4......92.,Easy
....8.94........8.......3.6..3....58.....87....647..9.5..8...31.6..19..5.87.4..6.,Easy
38.1.....7......8...2.8..17....9.7.........981.....34.4.9..76..6..2..1...7...4...,Expert
..9....5............6...9.....57.6..5....6.3..97.14.8...4..1.7...8967.151...3.86.,Easy
.98.74..331.2....9.52....4....9...14....27..5.....1.37...8.........95..2....32.8.,Expert
.5.6..19.29.14...5....3....13..8..2..4....6.8..5..4..3............36.....8..2.9..,Simple
.941...6...1..24...86.7..25....2.6.......5.8..4.6.17.2...7......5...9.....9......,Easy
..2.....93..2............85.54....9...8.53..1..98.........9.8.4.7531..........1..,Easy
.796.1...5....9.......4.32............1.964....67..21.......974.67..5..........35,Expert
...4589...49.6.1..3..19..2...28..4....5...8.6...........3.4.....8.3.5..9..69...4.,Expert
6.318.....8...7...15.......89.6...14...8.....7....5..9..641....4...........3.89..,Easy
3......2.7.96.........14......1.6.7....9...1.....3...49.275..61..32.975..........,Expert
.3..2.17.....3..95..21.8.....3812........738...5............6.......6.39.5..8...2,Expert
..2...4...4..3.28537.........96.5.........3.9..........6.....4..257..69.4...5...7,Easy
74.8....9...9..7.6.......5141...6..7.5..9.26.8..5.74..5....8................6....,Easy
...........918...31....785.9...7......2...57...1.5.3.26...........8.3....5...2.69,Easy
..1..7.......8.2....5.9..78...359.........3......28.9..58132.....7..5.3..69...1..,Expert
..913....4.3.26...61......29.1.6.......27.5......5.3..2......4...5....6..6..95...,Expert
.......62....9...8......3..4....3.7..83..45...9.7.8.4...4...7...2586.........528.,Easy
....5.1..6..3....54...1..8.19.4.6....2.........3.91.6.3....94.......2..856.......,Easy
.....4.........832...2...617.4.62.8........231..8.......7.2.....934.6....4.71...9,Easy
953....2..1..3...........4.....1946....6....5.........3.65..7......4...6.2976.3.1,Easy
.4...2.....1.3...26.........6.38.1....5.21...2.3..6..75.4..8....87.1...3....7.5..,Intermediate
6.32....8.9..........497.......21..9.........1.4.73...96.74.3..8.....9.63.1.6....,Easy
4.567..3.......7.....12.5.6....9...3..3...4.55...4.62...1.69......3....2....1...4,Expert
........8..5....3..4.9....5...4..1.9.16..53...3..61..75......717.3......89.......,Intermediate
...9.86.35.9.618....624..1.6........8.4...9...15.......21.....4...3...51...4...9.,Expert
3....7.2.8...6...57.4..26....3......1.....58..62..8.71..7...25........6821....4..,Expert
.7..5...9.4.1.37..8.1..74..7.5.381...............6.5849......36..6..........7.8..,Easy
5...7..43.7.4...8......2.6...1.3.8..2..8.41..3..16.....8......515...6...4........,Easy
....5.3..38...1..4..72..5.....5..........68..8..7.2...236..4.8.1...2..7.7.86....3,Expert
6394.1....87...9.........4..65.8.79...3...85...............8....74..63..9....5.1.,Expert
3.....8....1.7...4......321.1.76..8.4.2....63.....17..76..5....83..46..........5.,Easy
...9...1....753...4.......5.1...2.5.8....1...3.5......57.....32.2.48..799.4......,Easy
....3...2.8.9...6...152...852..1....1.328..9..78.9.5....6.....9........33....7...,Expert
........1.....6.4...9.3....7.4.....9.1..8..6.5..1......4.6.58....13....4.6.84..7.,Expert
....21..89...4.1.........3..4.7...1...5.8.2....2.35.9487..9.....9.318.....3..7...,Expert
..763...8.....2...91..4....4..8..7..18...3...7.34.19...96..7.......2619..........,Easy
..17.4..........69......2...59178....6.9.5.7.........1......1.8.12..6.5.8......42,Easy
.8...5.962..9..........4.....7869.5..3......9...53.2....5...7.......7.68..4.8....,Easy
....7.6.......9..2.8..5......2.....8..9..625.8.5....3..38..7...62.38.....9......4,Expert
....8....6..1.4.39.4..63..5...7......9..46..8.67.98..44...1...6.......7.98.......,Intermediate
6.3..1.5..5.......1.4..6..3....93..28..5....6.39...51.4..........8..2...2.1...43.,Expert
35...82..1...........5.1.3.74..82..3.6....4.........5.2.4...37857.....4..8......1,Easy
.6...9.4.....3..7.18.42.3..4.6......9...4.7....1.7.....9.81..2....2.......2..316.,Expert
1........3..1847...87....9..5.973..6.3.5.8...7...6.......89......3...5......4798.,Intermediate
..5.3.....4....1929.....3..1..9.4......62.....2..537...53...4........6..6..4....5,Expert
..5.8..9.23..79..4.....58...4.79...8.9.86...7....342........3...5........8.....76,Intermediate
...13..2.3....6.......9.6......5..8.....813.42....4.....4...2...1594..6......8.9.,Expert
258.1....6.....421........54.....9....2....38.13...6...6.8.2.4.1...5....3...91...,Expert
4.69....3........7....64.9.9.83..........59..7.1.....41....7.4...9..8.....7153...,Intermediate
....9..5..258....1.......68.64....9...9...8.75.7...62..7..5..1...8......1.642.7..,Expert
53.8........5....7.8.7...4..76.....39..34.67.......5..........8...2734...2....369,Easy
4.......5...9...4.5.713..69.2.79..16...6...5.....2....3.6.1.7.........9.2.53.....,Expert
....4....9...2...6458...9....2.....97.18...............6.1....7....5...2.1.97..45,Easy
..23...81.8.1...7..3...4...548.......1...52....6......3.5...........1.2....6734..,Intermediate
......3..84..3.......154...91.386.....6..1.......2....2...658..63....5....52...1.,Easy
......2..1.2....9..4...6.....741...2.84..75..61.8.......6..2..9..5...4..7...8...6,Expert
...3....8.1...725..94..21.3..37....55......7..8.4.13........4..17.....2....1.....,Easy
.....61.8.........7...35...5.1.4...3...97.5...7...3...1......5...53...49.83.9....,Intermediate
.6..8.....2..93..7..81.....9..3.26..7..5...38........2.....6.....58..7.3.....9..5,Expert
.6..7.3.2.....39.82...6.54...758.....5.9......9.6.2.5...924.....2......3.8.......,Easy
....693.....5....2.47...1..1...569....4...635...9........2..7....1.94.......37.26,Expert
.7.82.......4.....1...3.9.8........458....3........1...29.8...7.4..93.2..3...259.,Expert
3......95..521....9.1...6.......4..2...652.4.....3....24.9....6....48...5.......8,Easy
.79.2....8.......51.2....68.........32.57....95..38.1.691.8.3....3.1...7.........,Easy
318.4..6..9.23.1.......5.4.6.1...4..9......26.24...3...6.......8...1.5....3......,Easy
....685...3.971.............87...3.....79.8.4.94..3.51.....4......1..9...438....7,Intermediate
.53.71.84.6..9....7.8.4..9..........69....1.74...56......5.3.....6.87..5..946.3..,Expert
...7.......5..9.1..12.8....8..........7.....5..3.....92..87..931....5..76..9.32..,Intermediate
...7..2...2..18.9.....49..82.....5..78.5......5....4.3.9.8.4.5......3.1.3...7....,Expert
.7.14......2..7..38.6..3.7.3....514....7.163.....2.5...........1..6...2.5........,Easy
.1.8.62...7..39.1.8..2..9.3..8....6.7.......2.....2........8.7.1.4.73...39.6.4...,Easy
4.52.8....82.3...6.9.1.4......9.3..8......62......594..3.....8......15.........31,Easy
67.1.8..3.5..3..279....68............61..723...2.65.79....51.....5....9......2.6.,Intermediate
..9.3...47415....2....9.5..45.3..16..1..6.2....3..7..5....5.............3...146..,Easy
51.86..7.9.7.3..1.6.879.2........5......1...2..5.2....7.9..2.....6.8......1.7..6.,Easy
8.2.....7.4.....8.....4.....1....9..7..9.3....8.21.57.1..8....99....4...3.....2.1,Easy
.8..2....4.....32.3....95.1..5248....3...5.9............8.71...........9.9..3..48,Intermediate
6.1......9..........71.....7.4.3.6.9.85.69.4..9...75....8..4..3...3..7...7....485,Intermediate
...4.....3.9.82....1...9..5......653........4.....891.....645..1...3..2...2.1..48,Simple
..6.....9.9........1...42.8.8.2.....17..483.....36.....42.9....7....6.....8..17.3,Expert
1.92.6..7...37.51......1....21....7...7.8.15.9.6.2.3....8.........5..6.3....6....,Expert
...96.7....68..2....942..6.73.......2...35.9...8.......5.67...83.........9.......,Intermediate
.9........41.82...8...7...1.......7.......38...4.2..........9.8..743..2...29..45.,Expert
7....15...53......91......3..439...63.9.....7.6..75.4....9...618..6......95......,Expert
1.5.4.....42...7.9..3...1...7.6..9...2.4..5....69.1423......36..17.3.........9...,Expert
6.24..7...3.2....4....6...39..1.....3.....8.246.....31.7....6..2...8.1......42..9,Expert
.72.6....1....3...3...8....2...798.1...3...9............891.5...2..5...6..56...12,Easy
....671......8.....9.3.........13...3.......2.1.9.....26.....8...15..6.7.791...5.,Expert
.3.......1.8......694..3.....9.1..28.534..9..2....9.45..5..8..98..2.6....2...4...,Simple
5..4...1.......9...9.....8.27....5....8..2.7......3...81..2..9...9.1.7.3..25.9..8,Expert
1..8....3....7....23..19.......3.8....3.6.....76..8....6..529....1.835.2..29..3.7,Expert
....6........8.1..1..2.9....7......5.52..631..3.5...766........7..123..........97,Intermediate
371...8..56.....4.8..6..37.65...1.8....8.7.........4..7.....625...752.......4....,Easy
4....6.8.5.....6....37..5...3..7......738.49.1.95................1...9..8....4..1,Intermediate
127.......6...9....9..5..7....493.....26.7.1.6..1....93....47...1.97........3...5,Easy
...9....137.4..2....6.3..........1..637..8....8..24...2.8..9...........694.3.1...,Intermediate
.6...5.4.7.9..2.1.4.....6.5.......361.7.392.4....5.......9.6...51...7..2.........,Easy
..3..52.........5..2...9..7...7.3..4..7.5.9..5...9...8.64.......7.26..8...2..47.6,Expert
.86...4...5.7.9..8..16.5.2.....5.2...9....65.27...6..1.......7...4..2......49....,Easy
.7.54....1.........5.3.1......785.....12...68....16.....7..25..2.....6.3.4.....12,Expert
...5.7.9..9.2..4...4793..8.9..8......8.7..31.2.4.....5......172.1..........3....8,Easy
6.7..5.8.....29..445..3..79.........3...5......8....929....6.57....8.......4...38,Simple
...8..7.49...3..8.85.......4..7.5...5......46...31.8.....4....1..91..367.......9.,Easy
156..........8.1...82....6..41....8.29....5..5..2........9..4.33....16.....64...1,Expert
1..3......9..6.1....2........7....585...86...9..1.....65.71....7...3..9.3...95.1.,Easy
9.8.......2.83....36......4.97......13..4......67..38..4.69..3..7.....6.....7..41,Intermediate
.795..4.8..84.3.....3....6.......8.28.4...9.........76....4....6..9....59...3728.,Easy
..4.3..79.376..5.........3.8.2.67...97.2...8.4.....6....9.......8.3.9.........4..,Easy
9.........729.6.41..3..4.75.273...1......9....9.1.7536.....3.5....61.4.........6.,Easy
...57............4.15.9....1.9...6...3..4...24..71..5..2.........61..9.3...953...,Easy
748..........67..4........9.9.8.6..7413...9.........35.3.....6..56..8..3..4...1..,Easy
.19.......2..31......56......5.1.........8......64.3.2..8...94.36..82.5..5....2.3,Easy
.8.9..6....2....7..35.6....92.........86..2..7..1...35...75.9.....2..5.6........3,Easy
.4....9......26..7...1.56...63.....14...7............93........5.73...4.9.4.5.12.,Expert
....8....95....14.6.4........3.....5.7..1...8....7..6....19..5...746.....1..536.9,Expert
.6.79...11..46..3.4...1.7.2.3..7..5......53..62......................1...17.3.2..,Expert
45.2..7.1..3....9...913...2....78...5..9..84..2...5.7..4.....8..........8...5.324,Expert
752.......14.............8.38..127.....7..4...6.38....5..2631........3..1.6.7....,Easy
.7..5...8182....6........1..5.74.9.1....19...6..........5.....4.18....9.......287,Easy
8..9...6.1..............2...3.42.........3...4.6..19..9....468...5..941...46.8...,Intermediate
...3..7...1..8..9..6..298...4...6.39..6..1.4..........9.............72.3.2.4...18,Easy
.....46.16..72...9.4..352.717....4......4...32..37....3...9......75....2.......9.,Expert
.9.4..2.6.....185.........9....6.1..6..2....8.....8..2..5.96......5...833.1.426..,Easy
...93...6......4.....6.429....7.....7...4..8..6.3.81...3....8.2.94...6..8..2.1..3,Intermediate
5.49......3..7........43.6..6.7...5...861.4.........1..8.5.7..9.76......1...3.64.,Expert
.1.......7....9.32..25.6....8...36.5.7....9....1.6....86...2........7.....59...8.,Expert
..4586...3.5....6.2..........83....6.5....27..126......4.1....5....2..8.8......13,Expert
..2......7.1...952....6.8....89.....3.....59...5...786..6.5..1.98...3........76..,Intermediate
.836..17..56..3......82.........6.......3.62....5.4..1.741..8.2.....7.......4...6,Expert
......3.....7...211295.....2.3....7....4.593.......5....5.........1.67...72....94,Expert
...2.....6..1.8.5..245.3........14...694....54.1.8..3.............3.219.35......8,Easy
.4..37..1......3..........7..1...584.69......3...18...6....4.9......1......97.8.3,Easy
5....8...1.97....8...3...51..6...7...4......9...89...4...1....37......45..19..86.,Easy
.3...1.........73.18.2......4..3..2.6.89.....71..4...6...........639...8.9.128...,Easy
...2....6..48..35.7..5.....29....5...5.7.8..........623...4.7..6......94..5.....8,Expert
65..1...8..3.8..6.8.2...49..1962.......13...4..84....2.......8.3..........1.6.2..,Expert
.7....8.2....2..9.....63....9.5.7.....7....38..5..2..1...9.62....1..5.6........89,Expert
.9...7.3.26.8..4...4..6..7......68.59.....7...............536.4..3..49.76..9..38.,Expert
317....8..8.....5.64....1......9..7......6..9...4.73...3......67....5.98..9.6.53.,Easy
...1.5.3.89....1..6............9356.....1..2.3.2..6.8.23.7.......95......163.....,Intermediate
.........3..1..42......9..31..52.9...5.71.6...64.......3.....9.54.6.7.........762,Easy
..4.......9.7.561.7.2.3...9...39....5.3..6....2......7...5........6.752..4..1.9..,Intermediate
..29...571.5.......43.251..2..........4..9.2......19.8......8..5.......98....4.73,Expert
.8.......6........4......365...8694...94.2863.....7........4.2.3..6.8.5.92...5...,Easy
..1.98....................98.6.72.9..2.1..48...7....26...5..7.41.....86...84.7.1.,Easy
.79....4.23..7...56.....3..4...5.2....2.3..7...6...4........73.1....3.94..39.4.1.,Expert
...9...3...936...8.6....94...6.9..819..4..2.6...8...7..83.2..9.4.1..........1....,Intermediate
